id,keyword,rank
15441,최초이자,1
15441,일본,2
15441,조석,3
15441,낢이,4
15441,타임,5
15569,화라,1
15569,이쁘네욘빠당,2
15569,인데첫,3
15938,고기를,1
15938,돼지,2
15938,양식,3
15938,신문에,4
15938,사건이,5
20762,배바지,1
20762,글썽,2
20762,귀사대기를,3
20762,봨매너,4
20762,진짠줄,5
20853,우익,1
20853,장산범,2
20853,조철,3
20853,쉭쉭,4
20853,석아,5
21815,패륜왕,1
21815,폐륜왕,2
21815,후안이,3
21815,교주님,4
21815,스포,5
22037,인기를,1
22037,마법,2
22037,여전히,3
22037,당시,4
22037,지원이,5
22043,모르고,1
22043,좋다고,2
22043,드리고,3
22043,시계가,4
22043,칵테일,5
22045,도시락,1
22045,김치,2
22045,원숭이,3
22045,요정이,4
22045,뷰티,5
22052,솔로부대,1
22052,배트카에,2
22052,수학수사대,3
22052,부항도,4
22052,오닉,5
22073,사람,1
22073,좋아요,2
22073,년에,3
22090,진주서만,1
22090,거름통이에요,2
22090,고고학도의,3
22090,사금일기,4
22090,오사까아,5
22896,김규삼,1
22896,메르헨,2
22896,그린척,3
22896,영보랑,4
22896,노랭이,5
22897,마을,1
22897,병맛,2
22897,휴재,3
22897,토끼,4
22897,주모가,5
23182,남기한,1
23182,사후,2
23182,휴재,3
23182,진주도,4
23182,유료화,5
23183,토끼,1
23183,두대나,2
23183,차시기,3
23183,유기견,4
23183,마녀가,5
24525,아님,1
24525,자전거,2
24525,들은,3
24525,아무리,4
24525,타는,5
24965,아르미오,1
24965,회원일동,2
24965,랭이,3
24965,용병왕,4
24965,더트,5
25050,방파제,1
25050,메뚜기,2
25050,선대왕,3
25050,모시던,4
25050,내타입,5
25517,맙소사,1
25517,찹쌀떡,2
25517,벗으며,3
25517,모른단,4
25517,고라,5
25613,생참,1
25613,저희,2
25613,동생,3
25613,샘킴,4
25613,화장실,5
25714,바빴군요,1
25897,더지어스에스,1
25897,썰물이라서물빠짐,2
25897,하위곰넘,3
25897,가넷한개만주면,4
25897,곰공칠공공,5
25898,한류보라,1
25898,연호진화,2
25898,보더콜리,3
26074,시스루다,1
26074,연에세포,2
26074,수이,3
26074,베인이다,4
26074,좁다아침에,5
26107,깜방이나가,1
26107,아부쟁이,2
26107,아부쟁이부터,3
26107,돈주는할배,4
26107,부처들인가보네,5
26114,면사줄만한거,1
26114,미린넘이,2
26114,로또등,3
26114,도안가리는,4
26114,합치란건,5
26144,배댓,1
26144,고멘나,2
26216,거엿다닠,1
26216,잏다,2
26216,하늘만,3
26216,그뜻들에게,4
26216,넘이른가봐요,5
26431,이나,1
26431,기억이,2
26431,저에겐,3
26431,첨에,4
26431,나요,5
26440,그랬었다,1
26440,까인,2
26440,까인거임,3
26440,마셈,4
26440,럭키짱,5
26456,음주수술,1
26456,왜시바개,2
26456,끊겟다는건,3
26456,불싸지른,4
26456,멀티플롯,5
26458,리즈,1
26458,컨텐츠,2
26458,하이브할배,3
26458,최면과,4
26458,건너는,5
26460,어찌누워요,1
26460,쏜것에,2
26460,점화작업,3
26460,다친덴,4
26460,죽고맘,5
26473,등대,1
26473,는저등대의,2
26473,이돼는,3
26473,봐초조해,4
26473,것같았던아마,5
26671,빨갱이,1
26671,전처,2
26671,미중,3
26671,콧털로,4
26671,띠동갑,5
50422,마음,1
50422,지금,2
50422,이름,3
50422,서나님,4
50422,보면,5
51006,은하연인전,1
51006,은하,2
51006,은하에게,3
51006,은하연인전인데,4
51006,은하거병소환,5
51007,장례식,1
51007,소방관,2
51007,불닭,3
51007,토시,4
51007,들개로,5
55120,겪으,1
55120,고이나요,2
55120,여고나,3
55120,루머일뿐단,4
55120,저기왜구미씨와산지,5
55143,딸기우유,1
55143,가람이,2
55143,싱글,3
55143,살때,4
55143,나유진씨,5
58293,탄거같어,1
58293,기뻣다거,2
58293,명퇴당한,3
58293,거식이,4
58293,책재밋내,5
61731,시즌,1
61731,도치독,2
61731,판다,3
61731,저희,4
61731,엄마,5
62251,게산,1
62251,아춤과,2
62251,중단한거야,3
62251,계승하게,4
62251,소통한댔는데,5
63453,우와소라,1
63453,그녀라니,2
63453,아직은어린데,3
63453,까끙이건,4
63453,손발좀,5
63454,재희,1
63454,비틀즈는,2
63454,병자엿어,3
63454,재희만큼,4
63454,잘산댘,5
64997,벨치스,1
64997,파올로,2
64997,토발,3
64997,히페리온,4
64997,지구인,5
66913,몹쓸,1
66913,타겟이,2
66913,진일보,3
66913,해주,4
66913,화날,5
68684,겨울이,1
68684,연우서나사건,2
68684,그림을,3
68684,클래식,4
68684,연우,5
69113,운지,1
69113,저분을,2
69113,노짱,3
69113,하려던,4
69113,일곱살,5
69297,같은데,1
69297,어딜가나,2
69297,배틀크루져를,3
69297,라헬은,4
69297,나쁘죠,5
70920,에서,1
70920,으로,2
70920,그리고,3
70920,생각,4
70920,스타가,5
72497,신라의,1
72497,고구려,2
72497,정주행,3
72497,후레자식,4
72497,흑랑,5
72498,생쥐,1
72498,낢이,2
72498,타투한거,3
72498,난뱅이,4
72498,트래킹,5
81482,철수,1
81482,칼로리,2
81482,모카모카모카모카모카,3
81482,정심이,4
81482,샤프,5
89097,선녀,1
89097,노노,2
89097,켄의,3
89097,노노한테,4
89097,노노에게,5
92106,오프닝이,1
92106,편의점,2
92106,던가,3
92106,와라,4
92106,넘나,5
112931,악마,1
112931,검을,2
112931,엘프,3
112931,메이,4
112931,정의의신,5
112933,제나,1
112933,그랬네요,2
112933,되한,3
112933,질리고,4
112933,레포트로,5
113119,댄다는게,1
113119,만남이구마,2
113119,이익수,3
113119,건나쁜거임,4
113119,저리된줄알앗음,5
113121,얼어버린,1
113121,그려놓곸,2
113121,카펫이,3
113121,송년을,4
113121,따뜻해지는,5
119874,에드레이,1
119874,뇌전단,2
119874,누멘코팅,3
119874,패드릭,4
119874,돼갈량,5
131385,아샤도,1
131385,초월수치,2
131385,비슈,3
131385,아그,4
131385,찬드,5
132459,길창덕,1
132459,셨던,2
132459,입니까,3
132459,이고,4
132459,냐고,5
140444,피해자,1
140444,김민정,2
140444,씨가,3
140444,성폭행,4
140444,공감,5
142910,하이킹하던,1
142910,그립,2
142910,행군,3
142910,해녀,4
142910,서해안,5
147175,드려용,1
147175,만덕씨,2
147175,홍길동,3
147175,카카오,4
147175,선수네,5
148975,나래,1
148975,이슬을,2
148975,낢님,3
148975,만수,4
148975,동아리,5
150387,한테속는것,1
150387,이다흑,2
150387,내복이좀,3
150387,사고댐에,4
150387,활놀림을,5
150389,소나기야,1
150389,접착,2
150389,득템하셨어,3
150389,그사탕이계피,4
150389,정차댄거에,5
160461,는건감,1
160461,공중파내,2
160461,지환이,3
160461,지환인가,4
160461,어아아악,5
160469,귀신,1
160469,명자씨,2
160469,사다함,3
160469,목요일,4
160469,바람이,5
163295,의숲,1
163295,가위눌렸는데,2
163295,화고등,3
164320,푸욜은,1
164320,은퇴와,2
164320,몸인데,3
164320,조석이,4
164320,기간에,5
169080,펭러메,1
169080,방귀,2
169080,유럽여행,3
169080,독도는,4
169080,도련님,5
169081,단군할배요는,1
169081,향기,2
169081,기도를하기가,3
169081,합의해요,4
169081,신선이된,5
183558,소나기야,1
183558,언런,2
183558,로지내니까,3
183558,와루,4
183558,굴카나이프님,5
183559,퀸트,1
183559,야스라차,2
183559,켈헬람,3
186814,백악관도,1
186814,작곡을,2
186814,탁은,3
186814,피터,4
186814,이기에만,5
188199,오는만큼,1
